Country,Year,Gender,State Name,Type Of Area,Status Of Employment,"Percentage Distribution Of Workers (UOM:%(Percentage)), Scaling Factor:1"
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural + Urban,"Self-Employed own account worker, employer",10.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Urban,All self employed,19.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Urban,Casual labour,0.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Urban,Regular wage/salary,79.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Urban,Self-Employed helper in hoursehold enterprise,7.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Urban,"Self-Employed own account worker, employer",12.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural,All self employed,49.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural,Casual labour,40.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural,Regular wage/salary,10.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural,Self-Employed helper in hoursehold enterprise,33.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural,"Self-Employed own account worker, employer",16.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural + Urban,All self employed,48.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural + Urban,Casual labour,34.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural + Urban,Regular wage/salary,17.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural + Urban,Self-Employed helper in hoursehold enterprise,30.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural + Urban,"Self-Employed own account worker, employer",18.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Urban,All self employed,44.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Urban,Casual labour,10.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Urban,Regular wage/salary,44.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Urban,Self-Employed helper in hoursehold enterprise,19.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Urban,"Self-Employed own account worker, employer",25.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Andhra Pradesh,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural,All self employed,93.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural,Casual labour,0.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural,Regular wage/salary,6.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural,Self-Employed helper in hoursehold enterprise,35.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural,"Self-Employed own account worker, employer",57.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural + Urban,All self employed,89.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural + Urban,Casual labour,0.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural + Urban,Regular wage/salary,9.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural + Urban,Self-Employed helper in hoursehold enterprise,33.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural + Urban,"Self-Employed own account worker, employer",56.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Urban,All self employed,58.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Urban,Casual labour,1.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Urban,Regular wage/salary,39.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Urban,Self-Employed helper in hoursehold enterprise,15.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Urban,"Self-Employed own account worker, employer",43.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Arunachal Pradesh,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural,All self employed,77.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural,Casual labour,7.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural,Regular wage/salary,15.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural,Self-Employed helper in hoursehold enterprise,27.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural,"Self-Employed own account worker, employer",49.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural + Urban,All self employed,75.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural + Urban,Casual labour,7.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural + Urban,Regular wage/salary,17.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural + Urban,Self-Employed helper in hoursehold enterprise,26.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural + Urban,"Self-Employed own account worker, employer",48.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Urban,All self employed,48.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Urban,Casual labour,3.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Urban,Regular wage/salary,47.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Urban,Self-Employed helper in hoursehold enterprise,13.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Urban,"Self-Employed own account worker, employer",35.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Assam,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural,All self employed,84.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural,Casual labour,11.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural,Regular wage/salary,3.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural,Self-Employed helper in hoursehold enterprise,45.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural,"Self-Employed own account worker, employer",39.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural + Urban,All self employed,83.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural + Urban,Casual labour,11.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural + Urban,Regular wage/salary,4.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural + Urban,Self-Employed helper in hoursehold enterprise,44.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural + Urban,"Self-Employed own account worker, employer",38.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Urban,All self employed,60.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Urban,Casual labour,9.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Urban,Regular wage/salary,30.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Urban,Self-Employed helper in hoursehold enterprise,29.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Urban,"Self-Employed own account worker, employer",31.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Bihar,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural,All self employed,
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural,Casual labour,
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural,Regular wage/salary,
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural,Self-Employed helper in hoursehold enterprise,
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural,"Self-Employed own account worker, employer",
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural,all,
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural + Urban,All self employed,13.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural + Urban,Casual labour,0.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural + Urban,Regular wage/salary,86.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural + Urban,Self-Employed helper in hoursehold enterprise,3.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural + Urban,"Self-Employed own account worker, employer",9.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Urban,All self employed,13.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Urban,Casual labour,0.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Urban,Regular wage/salary,86.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Urban,Self-Employed helper in hoursehold enterprise,3.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Urban,"Self-Employed own account worker, employer",9.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Chandigarh,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural,All self employed,74.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural,Casual labour,19.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural,Regular wage/salary,5.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural,Self-Employed helper in hoursehold enterprise,67.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural,"Self-Employed own account worker, employer",7.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural + Urban,All self employed,70.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural + Urban,Casual labour,19.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural + Urban,Regular wage/salary,9.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural + Urban,Self-Employed helper in hoursehold enterprise,62.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural + Urban,"Self-Employed own account worker, employer",8.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Urban,All self employed,38.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Urban,Casual labour,17.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Urban,Regular wage/salary,43.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Urban,Self-Employed helper in hoursehold enterprise,21.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Urban,"Self-Employed own account worker, employer",17.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Chhattisgarh,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural,All self employed,64.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural,Casual labour,8.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural,Regular wage/salary,27.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural,Self-Employed helper in hoursehold enterprise,48.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural,"Self-Employed own account worker, employer",16.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural + Urban,All self employed,54.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural + Urban,Casual labour,6.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural + Urban,Regular wage/salary,39.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural + Urban,Self-Employed helper in hoursehold enterprise,36.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural + Urban,"Self-Employed own account worker, employer",17.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Urban,All self employed,28.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Urban,Casual labour,0.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Urban,Regular wage/salary,71.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Urban,Self-Employed helper in hoursehold enterprise,7.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Urban,"Self-Employed own account worker, employer",21.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Dadra and Nagar Haveli and Daman and Diu,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural,All self employed,61.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural,Casual labour,20.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural,Regular wage/salary,17.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural,Self-Employed helper in hoursehold enterprise,0.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural,"Self-Employed own account worker, employer",61.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural + Urban,All self employed,26.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural + Urban,Casual labour,3.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural + Urban,Regular wage/salary,70.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural + Urban,Self-Employed helper in hoursehold enterprise,7.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural + Urban,"Self-Employed own account worker, employer",18.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Urban,All self employed,25.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Urban,Casual labour,3.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Urban,Regular wage/salary,71.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Urban,Self-Employed helper in hoursehold enterprise,8.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Urban,"Self-Employed own account worker, employer",17.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Delhi,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural,All self employed,49.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural,Casual labour,6.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural,Regular wage/salary,44.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural,Self-Employed helper in hoursehold enterprise,34.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural,"Self-Employed own account worker, employer",14.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural + Urban,All self employed,34.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural + Urban,Casual labour,4.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural + Urban,Regular wage/salary,61.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural + Urban,Self-Employed helper in hoursehold enterprise,17.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural + Urban,"Self-Employed own account worker, employer",16.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Urban,All self employed,24.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Urban,Casual labour,2.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Urban,Regular wage/salary,73.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Urban,Self-Employed helper in hoursehold enterprise,6.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Urban,"Self-Employed own account worker, employer",18.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Goa,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural,All self employed,76.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural,Casual labour,16.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural,Regular wage/salary,6.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural,Self-Employed helper in hoursehold enterprise,41.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural,"Self-Employed own account worker, employer",35.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural + Urban,All self employed,68.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural + Urban,Casual labour,12.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural + Urban,Regular wage/salary,18.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural + Urban,Self-Employed helper in hoursehold enterprise,33.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural + Urban,"Self-Employed own account worker, employer",35.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Urban,All self employed,47.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Urban,Casual labour,3.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Urban,Regular wage/salary,49.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Urban,Self-Employed helper in hoursehold enterprise,11.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Urban,"Self-Employed own account worker, employer",35.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Gujarat,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural,All self employed,68.3
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural,Casual labour,15.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural,Regular wage/salary,16.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural,Self-Employed helper in hoursehold enterprise,27.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural,"Self-Employed own account worker, employer",40.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural + Urban,All self employed,56.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural + Urban,Casual labour,12.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural + Urban,Regular wage/salary,31.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural + Urban,Self-Employed helper in hoursehold enterprise,22.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural + Urban,"Self-Employed own account worker, employer",34.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Urban,All self employed,32.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Urban,Casual labour,6.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Urban,Regular wage/salary,60.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Urban,Self-Employed helper in hoursehold enterprise,11.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Urban,"Self-Employed own account worker, employer",21.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Haryana,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural,All self employed,87.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural,Casual labour,2.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural,Regular wage/salary,9.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural,Self-Employed helper in hoursehold enterprise,38.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural,"Self-Employed own account worker, employer",49.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural + Urban,All self employed,84.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural + Urban,Casual labour,2.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural + Urban,Regular wage/salary,12.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural + Urban,Self-Employed helper in hoursehold enterprise,36.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural + Urban,"Self-Employed own account worker, employer",47.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Urban,All self employed,35.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Urban,Casual labour,4.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Urban,Regular wage/salary,60.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Urban,Self-Employed helper in hoursehold enterprise,14.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Urban,"Self-Employed own account worker, employer",21.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Himachal Pradesh,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural,All self employed,93.6
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural,Casual labour,0.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural,Regular wage/salary,6.4
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural,Self-Employed helper in hoursehold enterprise,28.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural,"Self-Employed own account worker, employer",64.7
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural + Urban,All self employed,89.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural + Urban,Casual labour,0.5
India,"Agriculture Year (Jul - Jun), 2023",Female,Jammu and Kashmir,Rural + Urban,Regular wage/salary,10.0
